global_step,correct,similar,incorrect,train_loss,eval_loss
4,0,14,26,4.7294511795043945,-0.3721516927083333
8,0,16,24,4.6007490158081055,-0.4178059895833333
12,3,14,23,4.3388671875,-0.506103515625
16,4,13,23,3.7993977069854736,-0.61328125
20,15,9,16,3.4137778282165527,-0.6881510416666666
24,21,6,13,3.005126953125,-0.7355143229166666
28,22,6,12,2.6100056171417236,-0.7867838541666666
32,22,5,13,2.2018637657165527,-0.8619791666666666
36,24,3,13,1.7929790019989014,-0.9796549479166666
40,24,3,13,1.5586345195770264,-1.15087890625
44,24,3,13,1.1537425518035889,-1.36328125
48,24,2,14,0.9373728632926941,-1.6318359375
52,26,0,14,0.8387349843978882,-1.9508463541666667
56,26,0,14,0.6470997929573059,-2.1881510416666665
60,26,0,14,0.44993525743484497,-2.51171875
64,26,0,14,0.2998974919319153,-2.8561197916666665
68,26,0,14,0.19283485412597656,-3.1927083333333335
72,26,0,14,0.13170847296714783,-3.5045572916666665
76,26,0,14,0.07405741512775421,-3.75390625
80,26,0,14,0.09010521322488785,-3.90625
84,26,0,14,0.07841555774211884,-4.096354166666667
88,26,0,14,0.06265568733215332,-4.282552083333333
92,26,0,14,0.0235748291015625,-4.438802083333333
96,26,0,14,0.029442548751831055,-4.552083333333333
100,26,0,14,0.02417943812906742,-4.665364583333333
104,26,0,14,0.01114167831838131,-4.779947916666667
108,26,0,14,0.3390612006187439,-4.880208333333333
112,26,0,14,0.07535582035779953,-4.955729166666667
116,26,0,14,0.007673352956771851,-5.01953125
120,26,0,14,0.007432217244058847,-5.078125
124,26,0,14,0.008196274749934673,-5.130208333333333
128,26,0,14,0.006883531808853149,-5.153645833333333
132,26,0,14,0.007387186400592327,-5.1796875
136,26,0,14,0.17247584462165833,-5.19921875
140,26,0,14,0.009341876022517681,-5.204427083333333
144,26,0,14,0.01420383621007204,-5.20703125
148,26,0,14,0.005194872617721558,-5.212239583333333
152,26,0,14,0.00466658640652895,-5.223958333333333
156,26,0,14,0.004424084909260273,-5.231770833333333
160,26,0,14,0.0064120241440832615,-5.244791666666667
164,26,0,14,0.004156967159360647,-5.264322916666667
168,26,0,14,0.004053423646837473,-5.290364583333333
172,26,0,14,0.004607945680618286,-5.321614583333333
176,26,0,14,0.005332211498171091,-5.345052083333333
